                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.2751,                 1.0378,                 1.3974,                0.80008,                0.73568,                 0.8318,                0.51564,                  1.312,                0.96568,                 1.4196,               0.003169,               0.003169,               0.003169
                     72,                 1.2718,                 1.0174,                 1.3969,                0.81745,                0.71671,                0.83646,                0.52022,                  1.292,                0.95678,                 1.4074,                0.00307,                0.00307,                0.00307
                     73,                 1.2641,                 1.0101,                 1.3852,                0.82261,                0.72181,                0.83618,                0.51346,                  1.321,                0.94919,                 1.4178,               0.002971,               0.002971,               0.002971
                     74,                 1.2709,                 1.0095,                   1.39,                0.78403,                0.73862,                0.82518,                0.51085,                 1.3138,                0.96027,                 1.4232,               0.002872,               0.002872,               0.002872
                     75,                 1.2769,                 1.0048,                 1.3875,                0.77771,                0.75184,                0.83011,                0.51062,                 1.3035,                0.96102,                 1.4116,               0.002773,               0.002773,               0.002773
                     76,                 1.2736,                0.99794,                 1.3843,                0.81476,                 0.7169,                0.83073,                0.52762,                 1.3036,                0.94127,                 1.4053,               0.002674,               0.002674,               0.002674
                     77,                 1.2612,                0.98522,                  1.373,                0.82354,                0.71512,                0.82953,                0.51958,                 1.3007,                0.95779,                 1.3999,               0.002575,               0.002575,               0.002575
                     78,                 1.2443,                0.98765,                 1.3738,                0.79895,                0.73275,                 0.8285,                0.52191,                  1.295,                 0.9494,                 1.3971,               0.002476,               0.002476,               0.002476
                     79,                 1.2591,                0.97215,                 1.3714,                0.79663,                0.74156,                 0.8366,                0.52103,                 1.3068,                0.94729,                 1.4122,               0.002377,               0.002377,               0.002377
                     80,                 1.2426,                0.97147,                 1.3692,                0.85325,                0.70011,                0.83829,                0.52105,                 1.3021,                 0.9387,                  1.412,               0.002278,               0.002278,               0.002278
                     81,                 1.2343,                0.96804,                 1.3686,                0.79137,                0.74302,                0.83709,                0.51962,                 1.3201,                0.93979,                 1.4275,               0.002179,               0.002179,               0.002179
                     82,                 1.2444,                0.96781,                  1.368,                0.82851,                0.74156,                0.84055,                0.52455,                 1.2998,                0.93721,                 1.4084,                0.00208,                0.00208,                0.00208
                     83,                 1.2434,                 0.9675,                 1.3679,                0.79916,                0.74205,                0.84105,                0.52571,                  1.308,                0.92834,                 1.4175,               0.001981,               0.001981,               0.001981
                     84,                   1.24,                0.95957,                 1.3643,                  0.802,                0.76132,                0.84254,                0.51784,                 1.3219,                0.94291,                 1.4355,               0.001882,               0.001882,               0.001882
                     85,                  1.231,                0.95622,                 1.3666,                0.78869,                0.74302,                0.83612,                0.52099,                 1.3105,                0.93655,                 1.4272,               0.001783,               0.001783,               0.001783
                     86,                 1.2292,                0.96166,                 1.3613,                0.78917,                0.74156,                0.83917,                 0.5227,                 1.3184,                 0.9423,                 1.4258,               0.001684,               0.001684,               0.001684
                     87,                 1.2191,                0.95011,                 1.3503,                 0.8107,                0.74009,                0.83908,                0.52558,                 1.3098,                0.93027,                 1.4227,               0.001585,               0.001585,               0.001585
                     88,                  1.238,                0.94143,                 1.3695,                0.79316,                 0.7433,                0.83025,                0.51572,                 1.3251,                0.94881,                 1.4342,               0.001486,               0.001486,               0.001486
                     89,                 1.2131,                0.94342,                 1.3491,                0.79294,                0.75184,                0.83378,                0.52042,                 1.3232,                0.93029,                 1.4354,               0.001387,               0.001387,               0.001387
                     90,                 1.2145,                0.93944,                 1.3459,                0.80994,                0.73421,                0.83737,                 0.5241,                 1.3156,                0.93861,                  1.428,               0.001288,               0.001288,               0.001288
                     91,                 1.1578,                0.83021,                 1.3013,                0.78826,                0.76065,                0.84012,                0.52117,                 1.3124,                0.92618,                 1.4313,               0.001189,               0.001189,               0.001189
                     92,                 1.1409,                0.80644,                  1.294,                0.87177,                0.69163,                0.83971,                0.52613,                 1.3076,                0.92474,                 1.4277,                0.00109,                0.00109,                0.00109
                     93,                 1.1395,                0.80248,                 1.2912,                0.81569,                0.73434,                0.84012,                  0.529,                 1.3116,                0.92488,                 1.4291,               0.000991,               0.000991,               0.000991
                     94,                 1.1448,                0.80562,                  1.289,                0.82892,                0.72571,                0.84086,                 0.5298,                 1.3115,                0.93142,                 1.4288,               0.000892,               0.000892,               0.000892
                     95,                  1.138,                 0.8012,                 1.2959,                0.81345,                0.74156,                0.84138,                0.52355,                  1.309,                0.92387,                 1.4279,               0.000793,               0.000793,               0.000793
                     96,                 1.1233,                0.78185,                 1.2844,                0.80058,                0.76652,                0.84412,                 0.5266,                 1.3076,                0.91544,                 1.4288,               0.000694,               0.000694,               0.000694
                     97,                 1.1203,                0.78348,                 1.2818,                0.81184,                0.74761,                0.83733,                0.52528,                 1.3063,                0.92334,                 1.4279,               0.000595,               0.000595,               0.000595
                     98,                 1.1112,                 0.7698,                 1.2725,                0.83077,                0.72834,                0.83832,                0.52572,                 1.3139,                0.92096,                 1.4324,               0.000496,               0.000496,               0.000496
                     99,                 1.1128,                0.76648,                 1.2758,                0.81834,                 0.7489,                0.83617,                0.52296,                 1.3081,                0.91947,                 1.4265,               0.000397,               0.000397,               0.000397
                    100,                 1.0993,                0.76828,                 1.2635,                0.82372,                0.74302,                0.83961,                0.52343,                 1.3115,                0.91902,                 1.4284,               0.000298,               0.000298,               0.000298
