                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.2579,                 0.9918,                 1.3805,                 0.7815,                0.72199,                 0.8129,                0.49222,                 1.3347,                0.97742,                 1.4196,               0.002575,               0.002575,               0.002575
                     78,                 1.2398,                0.96449,                 1.3701,                0.84155,                0.68792,                0.80859,                  0.493,                  1.346,                0.97715,                 1.4254,               0.002476,               0.002476,               0.002476
                     79,                 1.2428,                0.97039,                 1.3724,                0.81288,                0.68792,                0.80136,                 0.4871,                 1.3479,                0.98879,                 1.4273,               0.002377,               0.002377,               0.002377
                     80,                  1.238,                0.96111,                 1.3605,                0.78183,                0.74716,                0.81024,                0.49432,                 1.3456,                0.97935,                 1.4197,               0.002278,               0.002278,               0.002278
                     81,                 1.2259,                0.94922,                 1.3553,                0.80507,                0.71049,                 0.8051,                0.49554,                 1.3388,                0.97707,                  1.413,               0.002179,               0.002179,               0.002179
                     82,                 1.2257,                0.95598,                 1.3552,                0.81813,                0.70784,                0.80571,                0.49248,                 1.3464,                0.98417,                 1.4258,                0.00208,                0.00208,                0.00208
                     83,                 1.2211,                0.96286,                  1.362,                0.79412,                0.72226,                0.81006,                0.49694,                  1.339,                 0.9694,                 1.4155,               0.001981,               0.001981,               0.001981
                     84,                 1.2282,                0.95113,                 1.3577,                0.78539,                0.71315,                0.80209,                0.49724,                 1.3392,                0.98045,                 1.4139,               0.001882,               0.001882,               0.001882
                     85,                 1.2219,                0.94092,                 1.3553,                0.80703,                0.71182,                0.81173,                0.50033,                 1.3405,                0.96275,                 1.4164,               0.001783,               0.001783,               0.001783
                     86,                 1.2124,                0.93202,                 1.3491,                0.81494,                0.69593,                0.80928,                0.49514,                 1.3453,                0.96505,                 1.4202,               0.001684,               0.001684,               0.001684
                     87,                 1.2097,                0.92932,                 1.3499,                0.81503,                0.71974,                0.81524,                0.49517,                 1.3547,                0.96486,                 1.4261,               0.001585,               0.001585,               0.001585
                     88,                 1.2068,                 0.9262,                 1.3475,                 0.7729,                0.74576,                0.81539,                0.49564,                 1.3506,                 0.9661,                 1.4229,               0.001486,               0.001486,               0.001486
                     89,                 1.2148,                0.93373,                 1.3516,                0.81937,                0.71182,                0.81493,                 0.5028,                  1.338,                0.96589,                 1.4122,               0.001387,               0.001387,               0.001387
